company_name,round_size_usd,round_type,round_date,lead_investors,primary_layer,source_url
Skild AI,1.4B,Series C,2026-01,"SoftBank (with NVentures/NVIDIA, Macquarie Capital, Bezos Expeditions)",L1_foundation_model,https://www.businesswire.com/news/home/20260114335623/en/Skild-AI-Raises-$1.4B-Now-Valued-Over-$14B
NEURA Robotics,1.2B,Growth/late-stage,2026-03,Tether Holdings,L4_hardware,https://siliconangle.com/2026/03/04/humanoid-robot-maker-neura-robotics-reportedly-raising-1-2b-funding/
AMI Labs,1.03B,Seed,2026-03,"Cathay Innovation, Greycroft, Hiro Capital, HV Capital, Bezos Expeditions",L1_foundation_model,https://news.crunchbase.com/venture/world-model-ai-lab-ami-raises-europes-largest-seed-round/
Figure AI,1.0B,Series C,2025-09,"Parkway Venture Capital (with Brookfield, NVIDIA, Macquarie)",L4_hardware,https://www.figure.ai/news/series-c
1X Technologies,1.0B,Series C,2025-09,"Undisclosed (NVIDIA, Salesforce, Intel, Qualcomm, Brookfield participated)",L4_hardware,https://techstartups.com/2025/09/24/norways-1x-raising-1b-at-10b-valuation-to-bring-humanoid-robot-neo-into-homes/
Physical Intelligence,600M,Series B,2025-11,CapitalG (Alphabet),L1_foundation_model,https://www.therobotreport.com/physical-intelligence-raises-600m-advance-robot-foundation-models/
Applied Intuition,600M,Series F,2025-06,BlackRock-managed funds + Kleiner Perkins (co-leads),L2_simulation,https://techcrunch.com/2025/06/17/applied-intuition-raises-600-million-as-it-pushes-further-into-defense/
Apptronik,520M,Series A extension,2026-02,"B Capital, Google, Mercedes-Benz, PEAK6 (existing co-leads)",L4_hardware,https://www.globenewswire.com/news-release/2026/02/11/3236352/0/en/Apptronik-Closes-Over-935-Million-Series-A-with-New-520-Million-Extension-Round.html
TARS,455M,Pre-A,2026-04,"Hillhouse Ventures, Sequoia China, Meituan (co-leads)",L4_hardware,https://www.caixinglobal.com/2026-04-17/chinese-ai-robotics-startup-tars-raises-455-million-in-record-pre-a-round-102434873.html
Rhoda AI,450M,Series A,2026-03,Premji Invest,L1_foundation_model,https://www.bloomberg.com/news/articles/2026-03-10/ai-robotics-startup-rhoda-valued-at-1-7-billion-in-new-funding
Field AI,405M,Growth,2025-08,"Bezos Expeditions, Prysm Capital, Temasek (co-leads)",L1_foundation_model,https://techcrunch.com/2025/08/20/fieldai-raises-405m-to-build-universal-robot-brains/
Generalist AI,400M,Growth equity,2026-06,Radical Ventures,L1_foundation_model,https://siliconangle.com/2026/06/04/generalist-ai-raises-400m-2b-valuation-build-general-intelligence-real-world/
Galbot (Galaxy General Robotics),363M,Strategic,2026-03,National AI Industry Investment Fund,L4_hardware,https://www.caixinglobal.com/2026-03-03/galbot-raises-362-million-in-fresh-funding-eyes-hong-kong-ipo-102418742.html
Runway,315M,Series E,2026-02,General Atlantic,L1_foundation_model,https://techcrunch.com/2026/02/10/ai-video-startup-runway-raises-315m-at-5-3b-valuation-eyes-more-capable-world-models/
Periodic Labs,300M,Seed,2025-09,Andreessen Horowitz (a16z),L6_vertical,https://techcrunch.com/2025/09/30/former-openai-and-deepmind-researchers-raise-whopping-300m-seed-to-automate-science/
Decart,300M,Series B (growth),2026-05,Radical Ventures,L2_simulation,https://siliconangle.com/2026/05/18/decart-raises-300m-ai-optimization-software-world-models/
Galaxea AI,290.4M,Series B+,2026-04,"Lens Technology (with CICC Capital, GL Ventures)",L1_foundation_model,https://www.caixinglobal.com/2026-04-02/robot-startup-galaxea-ai-raises-291-million-102430297.html
Bedrock Robotics,270M,Series B,2026-02,CapitalG + Valor Atreides AI Fund (co-leads),L6_vertical,https://www.prnewswire.com/news-releases/bedrock-robotics-raises-270-million-in-series-b-funding-to-accelerate-the-future-of-autonomous-construction-302679014.html
Mujin,233M,Series D,2025-12,NTT Group (co-lead Qatar Investment Authority),L6_vertical,https://www.businesswire.com/news/home/20251202560677/en/Mujin-Raises-US$-233-Million-to-Accelerate-Global-Growth-and-Drive-the-Future-of-Intelligent-Automation
Spirit AI (千寻智能),210M,Series A+,2026-06,Undisclosed (1.5B RMB round),L4_hardware,https://spirit-ai.com/news/6
