quarter,total_funding_usd,deal_count,largest_deal,source
Q1_2024,~1.8B,115,"Figure AI $675M Series B (Feb 2024, $2.6B val)","PitchBook 2024 robotics ($6.1B/473 deals annual, AI-subset, quarter allocated by dated mega-rounds); Crunchbase News. Quarterly split is best-sourced estimate."
Q2_2024,~1.3B,110,No single mega-round ($100M+ rounds incl. early Skild),PitchBook 2024 robotics ($6.1B/473 annual); Crunchbase News. Best-sourced estimate.
Q3_2024,~1.4B,120,"Skild AI $300M Series A (Jul 2024, $1.5B val)",Skild AI announcement + PitchBook 2024 robotics ($6.1B/473). Best-sourced estimate.
Q4_2024,~1.6B,128,"Physical Intelligence $400M Series A (Nov 2024, $2B val)",Crunchbase News (Physical Intelligence $400M) + PitchBook 2024 robotics. Best-sourced estimate.
Q1_2025,~2.5B,130,"Apptronik $415M Series A (Feb 2025, Google-backed)",Crunchbase News / TechCrunch (Apptronik) + Crunchbase robotics 2025 (~$14B record). Best-sourced estimate.
Q2_2025,~2.8B,135,The Bot Company $150M; multiple $100M+ China humanoid rounds,Crunchbase News 'Robotics Funding Crests Higher' (2025 sector mid-ramp). Best-sourced estimate.
Q3_2025,~4.5B,150,"Figure AI $1B+ Series C (Sep 2025, $39B post-money val)",Figure AI / PRNewswire Series C + Crunchbase robotics 2025 (~$14B annual). Best-sourced estimate.
Q4_2025,~4.2B,145,"Physical Intelligence $600M (Nov 2025, $5.6B val)",Bloomberg / Crunchbase News + Crunchbase robotics 2025 annual ~$14B (humanoid subset $6.1B/139 deals). Best-sourced estimate.
Q1_2026,~11B,165,"Skild AI $1.4B (Jan 2026, $14B+ val); AMI Labs $1.03B seed (Mar 2026)",Crunchbase News 'Q1 2026 Shatters Records'; Businesswire (Skild); TechCrunch (AMI Labs). Best-sourced estimate.
Q2_2026,~9B (partial),110,NEURA Robotics ~$1.2B (Mar/Q2 2026); Astribot $1B+ (Jun 2026); Rhoda AI $450M,"Crunchbase News April 2026 roundup; briefs.co '2026 YTD ~$23B by Jun 2'. Q2 2026 in progress (as of 2026-06-08) — partial, best-sourced estimate."
